1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
7,2,2,3,4,2,1,1,5,3,3,1
5,3,5,2,3,4,2,2,3,4,1,7
7,4,9,3,5,7,8,9,3,8,4,7
9,7,6,9,5,8,1,0,0,0,0,0
